latitude,longitude,county,municipality,date
24.41,120.8,苗栗縣,銅鑼鄉,2024/12/27
24.58,120.73,苗栗縣,後龍鎮,2024/12/26
24.5,120.74,苗栗縣,通霄鎮,2024/12/26
24.58,120.73,苗栗縣,後龍鎮,2024/12/25
24.55,120.79,苗栗縣,苗栗市,2024/12/24
24.51,120.7,苗栗縣,通霄鎮,2024/12/24
24.58,120.73,苗栗縣,後龍鎮,2024/12/23
24.6,120.74,苗栗縣,後龍鎮,2024/12/22
24.6,120.74,苗栗縣,後龍鎮,2024/12/21
24.43,120.72,苗栗縣,通霄鎮,2024/12/21
24.58,120.73,苗栗縣,後龍鎮,2024/12/21
24.5,120.75,苗栗縣,通霄鎮,2024/12/21
24.5,120.74,苗栗縣,通霄鎮,2024/12/21
24.51,120.7,苗栗縣,通霄鎮,2024/12/20
24.6,120.74,苗栗縣,後龍鎮,2024/12/20
24.58,120.73,苗栗縣,後龍鎮,2024/12/19
24.58,120.73,苗栗縣,後龍鎮,2024/12/18
24.5,120.75,苗栗縣,通霄鎮,2024/12/17
24.43,120.73,苗栗縣,通霄鎮,2024/12/16
24.41,120.8,苗栗縣,銅鑼鄉,2024/12/16
24.58,120.73,苗栗縣,後龍鎮,2024/12/15
24.53,120.78,苗栗縣,西湖鄉,2024/12/14
24.51,120.7,苗栗縣,通霄鎮,2024/12/13
24.41,120.8,苗栗縣,銅鑼鄉,2024/12/13
24.5,120.74,苗栗縣,通霄鎮,2024/12/10
24.5,120.75,苗栗縣,通霄鎮,2024/12/10
24.5,120.75,苗栗縣,通霄鎮,2024/12/9
24.5,120.74,苗栗縣,通霄鎮,2024/12/9
24.5,120.75,苗栗縣,通霄鎮,2024/12/7
24.43,120.73,苗栗縣,通霄鎮,2024/12/5
24.56,120.77,苗栗縣,苗栗市,2024/12/5
24.52,120.76,苗栗縣,西湖鄉,2024/12/3
24.57,120.75,苗栗縣,西湖鄉,2024/12/2
24.53,120.77,苗栗縣,西湖鄉,2024/12/1
24.58,120.78,苗栗縣,苗栗市,2024/12/1
24.56,120.77,苗栗縣,苗栗市,2024/12/1
24.5,120.74,苗栗縣,通霄鎮,2024/11/30
24.56,120.77,苗栗縣,苗栗市,2024/11/30
24.58,120.74,苗栗縣,後龍鎮,2024/11/29
24.39,120.76,苗栗縣,三義鄉,2024/11/29
24.59,120.73,苗栗縣,後龍鎮,2024/11/29
24.5,120.75,苗栗縣,通霄鎮,2024/11/28
24.47,120.75,苗栗縣,通霄鎮,2024/11/28
24.43,120.81,苗栗縣,銅鑼鄉,2024/11/28
24.47,120.76,苗栗縣,銅鑼鄉,2024/11/28
24.5,120.74,苗栗縣,通霄鎮,2024/11/28
24.48,120.72,苗栗縣,通霄鎮,2024/11/28
24.56,120.76,苗栗縣,西湖鄉,2024/11/27
24.55,120.76,苗栗縣,西湖鄉,2024/11/27
24.5,120.7,苗栗縣,通霄鎮,2024/11/27
24.59,120.73,苗栗縣,後龍鎮,2024/11/27
24.5,120.7,苗栗縣,通霄鎮,2024/11/26
24.44,120.73,苗栗縣,通霄鎮,2024/11/25
24.59,120.71,苗栗縣,後龍鎮,2024/11/25
24.53,120.77,苗栗縣,西湖鄉,2024/11/24
24.47,120.75,苗栗縣,通霄鎮,2024/11/24
24.47,120.75,苗栗縣,通霄鎮,2024/11/23
24.47,120.76,苗栗縣,銅鑼鄉,2024/11/23
24.55,120.76,苗栗縣,西湖鄉,2024/11/23
24.56,120.77,苗栗縣,苗栗市,2024/11/23
24.5,120.7,苗栗縣,通霄鎮,2024/11/23
24.53,120.77,苗栗縣,西湖鄉,2024/11/23
24.52,120.73,苗栗縣,通霄鎮,2024/11/22
24.5,120.7,苗栗縣,通霄鎮,2024/11/22
24.54,120.78,苗栗縣,西湖鄉,2024/11/22
24.43,120.8,苗栗縣,銅鑼鄉,2024/11/22
24.47,120.75,苗栗縣,通霄鎮,2024/11/21
24.52,120.68,苗栗縣,通霄鎮,2024/11/21
24.4,120.75,苗栗縣,三義鄉,2024/11/20
24.52,120.68,苗栗縣,通霄鎮,2024/11/20
24.56,120.76,苗栗縣,西湖鄉,2024/11/20
24.54,120.78,苗栗縣,西湖鄉,2024/11/20
24.55,120.81,苗栗縣,苗栗市,2024/11/18
24.43,120.73,苗栗縣,通霄鎮,2024/11/18
24.43,120.7,苗栗縣,苑裡鎮,2024/11/17
24.4,120.75,苗栗縣,三義鄉,2024/11/17
24.59,120.71,苗栗縣,後龍鎮,2024/11/17
24.55,120.79,苗栗縣,苗栗市,2024/11/17
24.52,120.68,苗栗縣,通霄鎮,2024/11/17
24.57,120.75,苗栗縣,西湖鄉,2024/11/17
24.59,120.73,苗栗縣,後龍鎮,2024/11/16
24.6,120.74,苗栗縣,後龍鎮,2024/11/16
24.55,120.83,苗栗縣,苗栗市,2024/11/16
24.48,120.75,苗栗縣,通霄鎮,2024/11/16
24.56,120.77,苗栗縣,苗栗市,2024/11/15
24.37,120.74,苗栗縣,三義鄉,2024/11/15
24.38,120.8,苗栗縣,三義鄉,2024/11/15
24.43,120.81,苗栗縣,銅鑼鄉,2024/11/14
24.48,120.75,苗栗縣,通霄鎮,2024/11/13
24.45,120.8,苗栗縣,銅鑼鄉,2024/11/12
24.47,120.76,苗栗縣,銅鑼鄉,2024/11/12
24.47,120.74,苗栗縣,通霄鎮,2024/11/12
24.59,120.73,苗栗縣,後龍鎮,2024/11/12
24.37,120.73,苗栗縣,三義鄉,2024/11/11
24.55,120.81,苗栗縣,苗栗市,2024/11/11
24.53,120.78,苗栗縣,西湖鄉,2024/11/11
24.5,120.7,苗栗縣,通霄鎮,2024/11/11
24.48,120.75,苗栗縣,通霄鎮,2024/11/10
24.52,120.76,苗栗縣,西湖鄉,2024/11/10
24.51,120.7,苗栗縣,通霄鎮,2024/11/10
24.5,120.7,苗栗縣,通霄鎮,2024/11/10
24.52,120.76,苗栗縣,西湖鄉,2024/11/9
24.6,120.74,苗栗縣,後龍鎮,2024/11/9
24.47,120.74,苗栗縣,通霄鎮,2024/11/9
24.43,120.73,苗栗縣,通霄鎮,2024/11/7
24.55,120.83,苗栗縣,苗栗市,2024/11/7
24.48,120.75,苗栗縣,通霄鎮,2024/11/7
24.4,120.75,苗栗縣,三義鄉,2024/11/7
24.43,120.72,苗栗縣,通霄鎮,2024/11/7
24.53,120.78,苗栗縣,西湖鄉,2024/11/7
24.52,120.68,苗栗縣,通霄鎮,2024/11/7
24.57,120.75,苗栗縣,西湖鄉,2024/11/6
24.31,120.79,苗栗縣,卓蘭鎮,2024/11/6
24.43,120.71,苗栗縣,通霄鎮,2024/11/6
24.54,120.73,苗栗縣,西湖鄉,2024/11/5
24.54,120.7,苗栗縣,通霄鎮,2024/11/4
24.5,120.7,苗栗縣,通霄鎮,2024/11/4
24.45,120.8,苗栗縣,銅鑼鄉,2024/11/4
24.51,120.7,苗栗縣,通霄鎮,2024/11/4
24.49,120.75,苗栗縣,通霄鎮,2024/11/4
24.42,120.82,苗栗縣,銅鑼鄉,2024/11/4
24.43,120.73,苗栗縣,通霄鎮,2024/11/3
24.52,120.73,苗栗縣,通霄鎮,2024/11/3
24.45,120.8,苗栗縣,銅鑼鄉,2024/11/3
24.43,120.72,苗栗縣,通霄鎮,2024/11/3
24.48,120.72,苗栗縣,通霄鎮,2024/11/2
24.6,120.74,苗栗縣,後龍鎮,2024/11/2
24.53,120.77,苗栗縣,西湖鄉,2024/11/2
24.38,120.77,苗栗縣,三義鄉,2024/11/2
24.53,120.77,苗栗縣,西湖鄉,2024/11/2
24.43,120.72,苗栗縣,通霄鎮,2024/11/1
24.55,120.74,苗栗縣,西湖鄉,2024/10/31
24.52,120.68,苗栗縣,通霄鎮,2024/10/30
24.56,120.77,苗栗縣,苗栗市,2024/10/30
24.6,120.74,苗栗縣,後龍鎮,2024/10/30
24.5,120.7,苗栗縣,通霄鎮,2024/10/30
24.62,120.87,苗栗縣,造橋鄉,2024/10/30
24.52,120.68,苗栗縣,通霄鎮,2024/10/29
24.57,120.74,苗栗縣,後龍鎮,2024/10/29
24.45,120.8,苗栗縣,銅鑼鄉,2024/10/29
24.46,120.68,苗栗縣,通霄鎮,2024/10/28
24.55,120.83,苗栗縣,苗栗市,2024/10/27
24.47,120.74,苗栗縣,通霄鎮,2024/10/27
24.59,120.74,苗栗縣,後龍鎮,2024/10/27
24.43,120.72,苗栗縣,通霄鎮,2024/10/26
24.48,120.75,苗栗縣,通霄鎮,2024/10/26
24.5,120.7,苗栗縣,通霄鎮,2024/10/25
24.59,120.73,苗栗縣,後龍鎮,2024/10/24
24.48,120.73,苗栗縣,通霄鎮,2024/10/23
24.58,120.74,苗栗縣,後龍鎮,2024/10/23
24.49,120.74,苗栗縣,通霄鎮,2024/10/23
24.38,120.71,苗栗縣,苑裡鎮,2024/10/23
24.45,120.8,苗栗縣,銅鑼鄉,2024/10/23
24.53,120.77,苗栗縣,西湖鄉,2024/10/23
24.51,120.69,苗栗縣,通霄鎮,2024/10/22
24.48,120.73,苗栗縣,通霄鎮,2024/10/22
24.55,120.83,苗栗縣,苗栗市,2024/10/22
24.5,120.7,苗栗縣,通霄鎮,2024/10/21
24.55,120.81,苗栗縣,苗栗市,2024/10/21
24.59,120.73,苗栗縣,後龍鎮,2024/10/21
24.38,120.77,苗栗縣,三義鄉,2024/10/20
24.55,120.83,苗栗縣,苗栗市,2024/10/19
24.52,120.73,苗栗縣,通霄鎮,2024/10/18
24.55,120.83,苗栗縣,苗栗市,2024/10/18
24.52,120.73,苗栗縣,通霄鎮,2024/10/17
24.52,120.68,苗栗縣,通霄鎮,2024/10/17
24.53,120.77,苗栗縣,西湖鄉,2024/10/16
24.5,120.7,苗栗縣,通霄鎮,2024/10/16
24.56,120.77,苗栗縣,苗栗市,2024/10/16
24.59,120.73,苗栗縣,後龍鎮,2024/10/16
24.58,120.74,苗栗縣,後龍鎮,2024/10/16
24.56,120.81,苗栗縣,苗栗市,2024/10/15
24.52,120.68,苗栗縣,通霄鎮,2024/10/15
24.58,120.73,苗栗縣,後龍鎮,2024/10/15
24.38,120.71,苗栗縣,苑裡鎮,2024/10/14
24.45,120.82,苗栗縣,銅鑼鄉,2024/10/14
24.57,120.74,苗栗縣,後龍鎮,2024/10/14
24.57,120.74,苗栗縣,後龍鎮,2024/10/13
24.55,120.71,苗栗縣,通霄鎮,2024/10/12
24.57,120.74,苗栗縣,後龍鎮,2024/10/12
24.38,120.79,苗栗縣,三義鄉,2024/10/11
24.56,120.77,苗栗縣,苗栗市,2024/10/11
24.57,120.74,苗栗縣,後龍鎮,2024/10/11
24.54,120.7,苗栗縣,通霄鎮,2024/10/10
24.59,120.71,苗栗縣,後龍鎮,2024/10/10
24.38,120.79,苗栗縣,三義鄉,2024/10/10
24.59,120.73,苗栗縣,後龍鎮,2024/10/10
24.58,120.74,苗栗縣,後龍鎮,2024/10/10
24.59,120.71,苗栗縣,後龍鎮,2024/10/9
24.55,120.75,苗栗縣,西湖鄉,2024/10/9
24.59,120.73,苗栗縣,後龍鎮,2024/10/9
24.55,120.83,苗栗縣,苗栗市,2024/10/9
24.56,120.77,苗栗縣,苗栗市,2024/10/9
24.48,120.75,苗栗縣,通霄鎮,2024/10/8
24.49,120.74,苗栗縣,通霄鎮,2024/10/7
24.45,120.68,苗栗縣,通霄鎮,2024/10/7
24.56,120.77,苗栗縣,苗栗市,2024/10/7
24.5,120.7,苗栗縣,通霄鎮,2024/10/7
24.37,120.71,苗栗縣,苑裡鎮,2024/10/5
24.54,120.75,苗栗縣,西湖鄉,2024/10/4
24.38,120.71,苗栗縣,苑裡鎮,2024/10/4
24.55,120.74,苗栗縣,西湖鄉,2024/10/3
24.4,120.73,苗栗縣,苑裡鎮,2024/10/3
24.59,120.71,苗栗縣,後龍鎮,2024/10/2
24.51,120.7,苗栗縣,通霄鎮,2024/10/2
24.33,120.86,苗栗縣,卓蘭鎮,2024/10/2
24.59,120.74,苗栗縣,後龍鎮,2024/10/2
24.57,120.74,苗栗縣,西湖鄉,2024/10/2
24.58,120.76,苗栗縣,西湖鄉,2024/10/1
24.5,120.7,苗栗縣,通霄鎮,2024/10/1
24.55,120.76,苗栗縣,西湖鄉,2024/10/1
24.56,120.77,苗栗縣,苗栗市,2024/10/1
24.51,120.7,苗栗縣,通霄鎮,2024/10/1
24.58,120.74,苗栗縣,後龍鎮,2024/10/1
24.58,120.73,苗栗縣,後龍鎮,2024/10/1
24.54,120.7,苗栗縣,通霄鎮,2024/10/1
24.55,120.74,苗栗縣,西湖鄉,2024/9/30
24.45,120.8,苗栗縣,銅鑼鄉,2024/9/30
24.55,120.83,苗栗縣,苗栗市,2024/9/30
24.5,120.7,苗栗縣,通霄鎮,2024/9/30
24.55,120.83,苗栗縣,苗栗市,2024/9/29
24.59,120.71,苗栗縣,後龍鎮,2024/9/29
24.5,120.7,苗栗縣,通霄鎮,2024/9/29
24.42,120.82,苗栗縣,銅鑼鄉,2024/9/28
24.5,120.7,苗栗縣,通霄鎮,2024/9/28
24.56,120.77,苗栗縣,苗栗市,2024/9/28
24.56,120.77,苗栗縣,苗栗市,2024/9/27
24.37,120.74,苗栗縣,三義鄉,2024/9/27
24.58,120.76,苗栗縣,西湖鄉,2024/9/27
24.5,120.7,苗栗縣,通霄鎮,2024/9/27
24.4,120.73,苗栗縣,苑裡鎮,2024/9/27
24.54,120.75,苗栗縣,西湖鄉,2024/9/27
24.5,120.7,苗栗縣,通霄鎮,2024/9/27
24.5,120.7,苗栗縣,通霄鎮,2024/9/26
24.49,120.74,苗栗縣,通霄鎮,2024/9/26
24.48,120.75,苗栗縣,通霄鎮,2024/9/26
24.4,120.73,苗栗縣,苑裡鎮,2024/9/26
24.54,120.73,苗栗縣,西湖鄉,2024/9/26
24.5,120.7,苗栗縣,通霄鎮,2024/9/25
24.58,120.73,苗栗縣,後龍鎮,2024/9/25
24.54,120.77,苗栗縣,西湖鄉,2024/9/25
24.48,120.75,苗栗縣,通霄鎮,2024/9/24
24.4,120.75,苗栗縣,三義鄉,2024/9/24
24.54,120.73,苗栗縣,西湖鄉,2024/9/23
24.54,120.77,苗栗縣,西湖鄉,2024/9/23
24.5,120.7,苗栗縣,通霄鎮,2024/9/23
24.55,120.83,苗栗縣,苗栗市,2024/9/22
24.45,120.64,苗栗縣,苑裡鎮,2024/9/22
24.59,120.73,苗栗縣,後龍鎮,2024/9/22
24.51,120.72,苗栗縣,通霄鎮,2024/9/21
24.54,120.73,苗栗縣,西湖鄉,2024/9/21
24.51,120.73,苗栗縣,通霄鎮,2024/9/21
24.45,120.8,苗栗縣,銅鑼鄉,2024/9/20
24.4,120.71,苗栗縣,苑裡鎮,2024/9/20
24.59,120.71,苗栗縣,後龍鎮,2024/9/20
24.59,120.74,苗栗縣,後龍鎮,2024/9/20
24.38,120.73,苗栗縣,三義鄉,2024/9/20
24.45,120.64,苗栗縣,苑裡鎮,2024/9/20
24.5,120.7,苗栗縣,通霄鎮,2024/9/19
24.38,120.71,苗栗縣,苑裡鎮,2024/9/19
24.38,120.77,苗栗縣,三義鄉,2024/9/19
24.55,120.83,苗栗縣,苗栗市,2024/9/19
24.59,120.71,苗栗縣,後龍鎮,2024/9/18
24.55,120.83,苗栗縣,苗栗市,2024/9/18
24.59,120.73,苗栗縣,後龍鎮,2024/9/18
24.38,120.73,苗栗縣,三義鄉,2024/9/17
24.33,120.86,苗栗縣,卓蘭鎮,2024/9/16
24.45,120.64,苗栗縣,苑裡鎮,2024/9/16
24.55,120.75,苗栗縣,西湖鄉,2024/9/16
24.54,120.7,苗栗縣,通霄鎮,2024/9/15
24.5,120.7,苗栗縣,通霄鎮,2024/9/15
24.55,120.75,苗栗縣,西湖鄉,2024/9/15
24.37,120.73,苗栗縣,三義鄉,2024/9/15
24.4,120.75,苗栗縣,三義鄉,2024/9/14
24.58,120.71,苗栗縣,後龍鎮,2024/9/14
24.54,120.75,苗栗縣,西湖鄉,2024/9/14
24.54,120.7,苗栗縣,通霄鎮,2024/9/14
24.4,120.73,苗栗縣,苑裡鎮,2024/9/13
24.5,120.7,苗栗縣,通霄鎮,2024/9/13
24.59,120.74,苗栗縣,後龍鎮,2024/9/13
24.5,120.7,苗栗縣,通霄鎮,2024/9/12
24.55,120.83,苗栗縣,苗栗市,2024/9/12
24.45,120.64,苗栗縣,苑裡鎮,2024/9/11
24.59,120.73,苗栗縣,後龍鎮,2024/9/11
24.4,120.71,苗栗縣,苑裡鎮,2024/9/11
24.55,120.75,苗栗縣,西湖鄉,2024/9/11
24.54,120.7,苗栗縣,通霄鎮,2024/9/8
24.59,120.71,苗栗縣,後龍鎮,2024/9/8
24.55,120.83,苗栗縣,苗栗市,2024/9/7
24.58,120.74,苗栗縣,後龍鎮,2024/9/7
24.55,120.83,苗栗縣,苗栗市,2024/9/7
24.54,120.7,苗栗縣,通霄鎮,2024/9/7
24.56,120.77,苗栗縣,苗栗市,2024/9/7
24.54,120.7,苗栗縣,通霄鎮,2024/9/6
24.4,120.71,苗栗縣,苑裡鎮,2024/9/6
24.57,120.75,苗栗縣,西湖鄉,2024/9/6
24.42,120.7,苗栗縣,苑裡鎮,2024/9/4
24.58,120.74,苗栗縣,後龍鎮,2024/9/4
24.38,120.71,苗栗縣,苑裡鎮,2024/9/4
24.47,120.75,苗栗縣,通霄鎮,2024/9/3
24.51,120.72,苗栗縣,通霄鎮,2024/9/3
24.55,120.83,苗栗縣,苗栗市,2024/9/3
24.5,120.7,苗栗縣,通霄鎮,2024/9/2
24.4,120.71,苗栗縣,苑裡鎮,2024/9/1
24.59,120.73,苗栗縣,後龍鎮,2024/9/1
24.54,120.77,苗栗縣,西湖鄉,2024/9/1
24.55,120.83,苗栗縣,苗栗市,2024/8/31
24.52,120.68,苗栗縣,通霄鎮,2024/8/31
24.55,120.8,苗栗縣,苗栗市,2024/8/29
24.55,120.83,苗栗縣,苗栗市,2024/8/29
24.5,120.7,苗栗縣,通霄鎮,2024/8/29
24.4,120.71,苗栗縣,苑裡鎮,2024/8/29
24.4,120.75,苗栗縣,三義鄉,2024/8/28
24.55,120.8,苗栗縣,苗栗市,2024/8/28
24.54,120.75,苗栗縣,西湖鄉,2024/8/27
24.45,120.82,苗栗縣,銅鑼鄉,2024/8/27
24.55,120.8,苗栗縣,苗栗市,2024/8/27
24.52,120.78,苗栗縣,西湖鄉,2024/8/27
24.59,120.71,苗栗縣,後龍鎮,2024/8/27
24.39,120.71,苗栗縣,苑裡鎮,2024/8/26
24.38,120.79,苗栗縣,三義鄉,2024/8/26
24.38,120.77,苗栗縣,三義鄉,2024/8/26
24.59,120.71,苗栗縣,後龍鎮,2024/8/25
24.57,120.75,苗栗縣,西湖鄉,2024/8/25
24.55,120.8,苗栗縣,苗栗市,2024/8/25
24.38,120.79,苗栗縣,三義鄉,2024/8/25
24.4,120.75,苗栗縣,三義鄉,2024/8/24
24.55,120.74,苗栗縣,西湖鄉,2024/8/24
24.53,120.77,苗栗縣,西湖鄉,2024/8/24
24.58,120.74,苗栗縣,後龍鎮,2024/8/24
24.33,120.86,苗栗縣,卓蘭鎮,2024/8/24
24.6,120.88,苗栗縣,頭屋鄉,2024/8/24
24.33,120.86,苗栗縣,卓蘭鎮,2024/8/23
24.4,120.71,苗栗縣,苑裡鎮,2024/8/22
24.59,120.74,苗栗縣,後龍鎮,2024/8/22
24.62,120.86,苗栗縣,造橋鄉,2024/8/22
24.5,120.7,苗栗縣,通霄鎮,2024/8/22
24.33,120.86,苗栗縣,卓蘭鎮,2024/8/22
24.5,120.7,苗栗縣,通霄鎮,2024/8/21
24.45,120.8,苗栗縣,銅鑼鄉,2024/8/21
24.33,120.86,苗栗縣,卓蘭鎮,2024/8/21
24.5,120.7,苗栗縣,通霄鎮,2024/8/20
24.53,120.77,苗栗縣,西湖鄉,2024/8/20
24.45,120.8,苗栗縣,銅鑼鄉,2024/8/20
24.4,120.71,苗栗縣,苑裡鎮,2024/8/20
24.58,120.74,苗栗縣,後龍鎮,2024/8/19
24.45,120.8,苗栗縣,銅鑼鄉,2024/8/19
24.63,120.85,苗栗縣,造橋鄉,2024/8/19
24.53,120.73,苗栗縣,通霄鎮,2024/8/19
24.53,120.79,苗栗縣,苗栗市,2024/8/18
24.55,120.83,苗栗縣,苗栗市,2024/8/18
24.48,120.73,苗栗縣,通霄鎮,2024/8/18
24.55,120.83,苗栗縣,苗栗市,2024/8/18
24.4,120.71,苗栗縣,苑裡鎮,2024/8/18
24.59,120.73,苗栗縣,後龍鎮,2024/8/18
24.54,120.75,苗栗縣,西湖鄉,2024/8/18
24.59,120.71,苗栗縣,後龍鎮,2024/8/18
24.45,120.8,苗栗縣,銅鑼鄉,2024/8/16
24.53,120.79,苗栗縣,苗栗市,2024/8/16
24.5,120.7,苗栗縣,通霄鎮,2024/8/16
24.48,120.73,苗栗縣,通霄鎮,2024/8/15
24.53,120.79,苗栗縣,苗栗市,2024/8/15
24.41,120.83,苗栗縣,銅鑼鄉,2024/8/14
24.59,120.71,苗栗縣,後龍鎮,2024/8/14
24.4,120.73,苗栗縣,苑裡鎮,2024/8/14
24.48,120.73,苗栗縣,通霄鎮,2024/8/14
24.52,120.68,苗栗縣,通霄鎮,2024/8/14
24.58,120.74,苗栗縣,後龍鎮,2024/8/13
24.59,120.71,苗栗縣,後龍鎮,2024/8/13
24.53,120.79,苗栗縣,苗栗市,2024/8/13
24.48,120.73,苗栗縣,通霄鎮,2024/8/13
24.56,120.77,苗栗縣,苗栗市,2024/8/12
24.33,120.86,苗栗縣,卓蘭鎮,2024/8/12
24.4,120.79,苗栗縣,三義鄉,2024/8/11
24.38,120.79,苗栗縣,三義鄉,2024/8/11
24.55,120.83,苗栗縣,苗栗市,2024/8/10
24.59,120.73,苗栗縣,後龍鎮,2024/8/10
24.53,120.79,苗栗縣,苗栗市,2024/8/10
24.33,120.86,苗栗縣,卓蘭鎮,2024/8/9
24.53,120.79,苗栗縣,苗栗市,2024/8/9
24.57,120.75,苗栗縣,西湖鄉,2024/8/8
24.53,120.79,苗栗縣,苗栗市,2024/8/8
24.53,120.79,苗栗縣,苗栗市,2024/8/5
24.38,120.77,苗栗縣,三義鄉,2024/8/5
24.45,120.64,苗栗縣,苑裡鎮,2024/8/5
24.49,120.74,苗栗縣,通霄鎮,2024/8/5
24.38,120.73,苗栗縣,三義鄉,2024/8/4
24.56,120.77,苗栗縣,西湖鄉,2024/8/4
24.55,120.75,苗栗縣,西湖鄉,2024/8/2
24.59,120.73,苗栗縣,後龍鎮,2024/8/1
24.51,120.7,苗栗縣,通霄鎮,2024/7/31
24.4,120.75,苗栗縣,三義鄉,2024/7/31
24.53,120.79,苗栗縣,苗栗市,2024/7/31
24.38,120.79,苗栗縣,三義鄉,2024/7/31
